"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.none_ner.none",0.678,0.711,0.696,0.682,0.727,0.756,0.708
"Qgram_tok.whitespace_notlc_sw.nonestopwords_cf.none_ner.none",0.67,0.7,0.697,0.684,0.73,0.762,0.707
"Jaccard_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.715,0.759,0.683,0.672,0.692,0.717,0.706
"Qgram_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.684,0.72,0.682,0.668,0.727,0.756,0.706
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.704,0.751,0.679,0.675,0.713,0.712,0.705
"Jaccard_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.71,0.755,0.683,0.672,0.693,0.72,0.705
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.biosses_ner.none",0.704,0.75,0.679,0.674,0.712,0.71,0.705
"Jaccard_tok.whitespace_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.703,0.744,0.668,0.64,0.728,0.744,0.704
"Jaccard_tok.whitespace_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.703,0.742,0.668,0.64,0.729,0.744,0.704
"Qgram_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.none_ner.none",0.681,0.711,0.677,0.665,0.73,0.762,0.704
"Jaccard_tok.whitespace_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.698,0.738,0.67,0.642,0.727,0.743,0.703
"Jaccard_tok.whitespace_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.697,0.737,0.67,0.641,0.728,0.743,0.703
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.765,0.774,0.693,0.56,0.723,0.714,0.702
"Jaccard_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.717,0.759,0.666,0.655,0.692,0.717,0.701
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.689,0.727,0.676,0.649,0.714,0.749,0.7
"Jaccard_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.none_ner.none",0.74,0.764,0.675,0.647,0.705,0.672,0.7
"BlockDistance_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.none_ner.none",0.746,0.755,0.686,0.645,0.712,0.66,0.7
"Jaccard_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.711,0.756,0.667,0.655,0.693,0.72,0.7
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.none_ner.none",0.735,0.743,0.706,0.658,0.705,0.656,0.7
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.689,0.727,0.676,0.648,0.712,0.749,0.7
"Jaccard_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.704,0.741,0.655,0.626,0.728,0.744,0.699
"Jaccard_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.704,0.74,0.654,0.624,0.729,0.744,0.699
