
SNOMED Id1;SNOMED Id1;Rada;AncSPLRada
277903005;2861000087109;-6.0;-6.0
735340006;302431005;-5.0;-6.0
280521005;169340001;-6.0;-6.5
209697001;233330000;-5.5;-5.5
117687005;224156003;-5.5;-5.5
172849006;469876008;-4.0;-5.5
365364005;289698009;-3.5;-4.0
465475007;117499009;-3.5;-3.5
18850004;373745000;-6.5;-6.5
421695000;227665001;-6.0;-7.0
241934007;32334000;-5.5;-6.5
466068006;782988009;-4.0;-4.0
193341001;292411008;-3.5;-6.0
765969001;389021005;-7.0;-7.0
246132006;774573000;-2.5;-2.5
291120005;429326003;-6.0;-6.5
729556002;729464006;-2.5;-4.0
438669001;273223001;-8.0;-8.0
16007271000119107;457011000124109;-4.0;-4.5
12455009;201805000;-6.0;-6.5
719488009;293832002;-5.0;-5.0
710335007;227473002;-5.0;-5.0
82299008;246308007;-6.5;-7.5
450411009;279378004;-8.0;-8.5
53183006;458086004;-3.0;-3.5
785674001;463490008;-4.0;-4.5
275951001;276302000;-2.5;-3.0
241767002;249594003;-2.5;-3.0
12117006;251429008;-4.5;-4.5
78435003;440406003;-5.0;-6.5
720683004;714449009;-5.0;-5.0
255348000;710993005;-4.5;-4.5
7125002;706627003;-3.5;-4.0
30034004;398117008;-5.0;-5.0
244096008;323311000119107;-4.5;-5.5
256725002;325267004;-5.5;-5.5
53597009;113324008;-3.5;-3.5
34941004;296278009;-6.5;-8.0
310426008;16212009;-6.0;-6.0
71109004;287121002;-8.0;-8.0
38750003;15475009;-6.5;-6.5
255004001;288611008;-3.0;-4.0
247808006;421299002;-4.5;-5.0
702849009;721665000;-5.0;-5.0
10925441000119102;34694006;-4.0;-4.5
414944000;735181008;-5.5;-6.5
257094005;103148003;-2.5;-5.0
234248001;251589008;-5.0;-5.0
13001009;394687007;-6.0;-6.5
188022009;2962009;-6.0;-7.5
168819002;64240003;-4.0;-5.0
274369008;55605003;-2.5;-2.5
323382009;53188002;-3.5;-4.0
430160002;255579002;-2.5;-6.5
407668008;280884009;-5.0;-5.0
397445005;25037003;-7.5;-8.0
72495009;125267001;-4.0;-4.5
237674009;255294004;-5.0;-5.5
208669004;20038006;-7.5;-8.0
225425006;114149009;-6.0;-6.5
703705009;679381000119109;-5.5;-6.0
7515000;396852007;-6.0;-6.0
243821003;770887003;-4.0;-4.0
418293008;95452006;-5.5;-5.5
