
GO Id1;GO Id1;Rada;AncSPLRada
GO:0061599;GO:0061584;-4.0;-4.5
GO:0018877;GO:1903463;-4.5;-5.0
GO:0018961;GO:0072072;-4.0;-4.0
GO:1904450;GO:1900966;-2.0;-2.0
GO:0018362;GO:1905605;-4.0;-5.5
GO:0035240;GO:0003092;-4.5;-4.5
GO:0018666;GO:0061550;-5.0;-5.0
GO:0033813;GO:0032687;-6.0;-6.5
GO:0047361;GO:1900164;-5.5;-7.0
GO:1902626;GO:0048864;-3.0;-3.5
GO:0071009;GO:0099542;-6.0;-6.0
GO:0036458;GO:0050496;-5.5;-6.0
GO:0015474;GO:0061497;-4.5;-5.0
GO:0098526;GO:0050126;-5.5;-5.5
GO:0016926;GO:0039629;-4.5;-5.0
GO:0102281;GO:0002626;-5.5;-5.5
GO:2000546;GO:0039705;-3.5;-3.5
GO:1901518;GO:0015753;-4.0;-4.0
GO:1904498;GO:0072494;-6.0;-6.0
GO:0019385;GO:1904702;-4.0;-4.5
GO:0006230;GO:0005689;-5.5;-6.0
GO:2000103;GO:0015779;-3.5;-5.0
GO:0102551;GO:1901695;-4.5;-4.5
GO:0071526;GO:1900823;-2.5;-2.5
GO:0008764;GO:0004873;-2.5;-2.5
GO:1903471;GO:0050494;-3.5;-4.5
GO:1904174;GO:0048344;-4.0;-4.0
GO:0021775;GO:0043834;-5.0;-5.5
GO:0033953;GO:0042636;-5.0;-5.0
GO:0008899;GO:0004046;-3.5;-4.0
GO:0090038;GO:0045059;-3.5;-4.5
GO:0032294;GO:0019916;-4.0;-5.0
GO:2000794;GO:0021653;-3.0;-4.0
GO:0035278;GO:0035849;-3.5;-5.5
GO:0015710;GO:1902375;-5.0;-7.0
GO:0001952;GO:0009165;-3.5;-5.0
GO:0015330;GO:1904321;-5.0;-5.0
GO:0033280;GO:1990243;-4.5;-4.5
GO:1901273;GO:0042437;-0.5;-0.5
GO:0072536;GO:0008838;-4.5;-4.5
GO:0102546;GO:1900899;-5.0;-5.0
GO:0045251;GO:0045836;-4.0;-5.0
GO:0010976;GO:1990313;-5.0;-5.5
GO:0004222;GO:0110053;-5.5;-6.0
GO:0036445;GO:0080071;-5.5;-5.5
GO:0045604;GO:1903187;-1.0;-1.5
GO:0071112;GO:0035136;-4.5;-4.5
GO:0071930;GO:2000544;-3.0;-3.5
GO:0099030;GO:0070666;-6.5;-6.5
GO:0120135;GO:0097439;-2.5;-2.5
GO:1904288;GO:0033162;-3.5;-3.5
GO:0051498;GO:1904498;-4.0;-4.0
GO:0030072;GO:0036375;-3.5;-4.0
GO:0047822;GO:0048532;-3.0;-3.5
GO:0036179;GO:0006278;-2.5;-3.0
GO:0042959;GO:1904576;-4.0;-4.0
GO:0009421;GO:0045391;-4.0;-4.5
GO:0032590;GO:0045939;-5.0;-5.0
GO:0090100;GO:0034693;-5.5;-5.5
GO:1904226;GO:0047358;-5.0;-5.0
GO:0022615;GO:0015081;-4.5;-4.5
GO:0097487;GO:0120187;-6.0;-6.0
GO:1990447;GO:0014747;-6.0;-6.0
GO:0010972;GO:0062014;-2.5;-2.5
GO:0099573;GO:0050690;-4.5;-4.5
GO:0021949;GO:0010433;-4.0;-4.0
GO:0021572;GO:0045213;-3.5;-3.5
GO:0047889;GO:0003774;-3.0;-4.0
GO:0072416;GO:2000770;-2.0;-2.0
GO:0047168;GO:0102936;-2.0;-2.0
GO:0070580;GO:0003774;-5.5;-6.5
GO:0001851;GO:0003199;-5.5;-6.0
GO:0071190;GO:1902215;-6.0;-6.0
GO:0015691;GO:0099038;-5.5;-6.5
GO:0097630;GO:0046012;-4.5;-6.0
GO:2000697;GO:0047974;-5.0;-5.0
GO:2000029;GO:1901119;-2.5;-3.5
GO:0051754;GO:0032559;-4.5;-5.0
GO:0039682;GO:0038192;-4.5;-4.5
GO:0018126;GO:0033139;-3.0;-5.5
GO:0090120;GO:0032540;-3.5;-3.5
GO:1905111;GO:0031564;-3.0;-4.0
GO:0031351;GO:0047929;-5.0;-5.0
GO:0043210;GO:0006887;-3.0;-3.0
GO:0002783;GO:1901974;-6.0;-6.0
GO:0046124;GO:0045334;-7.0;-7.0
GO:0044640;GO:0030852;-5.0;-5.5
GO:0004340;GO:1903608;-5.5;-6.0
GO:0072547;GO:0031337;-6.5;-6.5
GO:1902796;GO:0043999;-7.5;-8.5
GO:0097036;GO:0050638;-5.5;-5.5
GO:1905163;GO:0045958;-3.0;-4.0
GO:1903677;GO:0044634;-3.5;-5.5
GO:0034601;GO:0052740;-2.0;-3.0
GO:2001007;GO:0014845;-5.0;-6.5
GO:0039688;GO:0070346;-4.0;-5.0
GO:0051744;GO:0042786;-5.0;-5.0
GO:0010894;GO:0007402;-3.5;-5.0
GO:0120078;GO:0071185;-4.0;-4.0
GO:1904108;GO:0002791;-4.0;-5.5
GO:0042773;GO:0034793;-5.0;-5.0
GO:1900912;GO:0005127;-5.5;-5.5
GO:1902869;GO:1902133;-3.5;-5.0
GO:1905344;GO:0042445;-2.0;-2.5
GO:0042888;GO:0015900;-6.0;-6.0
GO:0030613;GO:0006307;-4.0;-5.0
GO:0019185;GO:0015658;-4.5;-4.5
GO:1905045;GO:0019747;-2.5;-2.5
GO:0005778;GO:0043578;-4.5;-5.5
GO:0032776;GO:0052902;-5.0;-5.0
GO:0008053;GO:0055073;-3.5;-6.0
GO:0072048;GO:0034921;-3.5;-3.5
GO:0050765;GO:0032027;-5.0;-5.0
GO:1900513;GO:2000646;-2.5;-3.0
GO:0048636;GO:0070385;-3.5;-3.5
GO:0072096;GO:0090646;-4.0;-5.5
GO:2000943;GO:0000762;-3.0;-4.5
GO:0030877;GO:1904507;-3.5;-3.5
GO:0060507;GO:0098579;-5.5;-6.0
GO:0043945;GO:1900353;-2.0;-2.0
GO:0090265;GO:0031778;-6.5;-6.5
GO:0034737;GO:0097610;-4.5;-4.5
GO:0099519;GO:0033604;-3.5;-5.0
GO:0005586;GO:0102216;-4.5;-4.5
GO:0019373;GO:0036434;-5.5;-5.5
GO:1990299;GO:0021892;-3.5;-4.0
GO:0045779;GO:0070454;-2.5;-3.0
GO:0061096;GO:0061335;-3.5;-4.0
GO:0031069;GO:0031241;-3.0;-3.0
GO:0042335;GO:0016855;-3.5;-3.5
GO:0000228;GO:0042454;-6.0;-6.0
GO:1901046;GO:0004377;-6.0;-6.0
GO:0042277;GO:0046386;-4.0;-4.0
GO:0086040;GO:0033782;-4.0;-5.5
GO:0002357;GO:0102886;-4.5;-4.5
GO:0044819;GO:0008112;-5.0;-5.0
GO:1990546;GO:1902517;-4.5;-4.5
GO:0044559;GO:0080173;-3.0;-3.0
GO:0002131;GO:0005998;-5.0;-5.0
GO:1990878;GO:0034358;-5.0;-5.0
GO:2000864;GO:0102670;-5.0;-5.0
GO:0090628;GO:0003348;-1.5;-1.5
GO:0002883;GO:0018875;-4.5;-5.5
GO:1901084;GO:0008674;-5.0;-5.5
GO:0045659;GO:0030243;-5.5;-7.0
GO:0051877;GO:0033469;-3.0;-4.0
GO:0042220;GO:0044717;-5.5;-5.5
GO:0047015;GO:1905026;-5.5;-5.5
GO:0018151;GO:0031448;-5.0;-6.0
GO:0050971;GO:0072124;-4.0;-4.5
